SN,day,time,datetime,A_Indep_Front,A_RollSpeed_Front,A_R2R2W_Front,A_R2R2W_RollSpeed_Front,KM_Front,KM_DEV_Front,A_Indep_Rear,A_RollSpeed_Rear,A_R2R2W_Rear,A_R2R2W_RollSpeed_Rear,KM_Rear,KM_DEV_Rear
DRW491710251,20171208,114223,20171208114223,0.386944,0.000646,48.587588,0.0,0.041707,0.011508,0.385258,0.000563,106.137215,0.0,0.041676,0.037064
DRW491710271,20171208,154635,20171208154635,0.398063,0.000571,90.667387,0.0,0.041357,0.060187,0.375129,0.0009939999999999999,70.993402,0.0,0.041477999999999994,0.013758000000000001
DRW491710281,20171208,163117,20171208163117,0.371011,0.000552,87.483052,0.0,0.042824,0.023628,0.367733,0.0008210000000000001,81.975747,0.0,0.041791,0.029252999999999998
DRW501710121,20171209,81535,20171209081535,0.376429,0.000660,76.026985,0.0,0.041235,0.047316000000000004,0.313065,0.000728,122.19204099999999,0.0,0.041672,0.017685
DRW501710131,20171209,90708,20171209090708,0.372633,0.000774,78.473057,0.0,0.041767,0.020308,0.33782,0.000773,73.43670999999999,0.0,0.041692,0.046947
DRW501710141,20171209,101457,20171209101457,0.351738,0.000816,68.713858,0.0,0.041382,0.02105,0.411891,0.000768,76.68104699999999,0.0,0.041025,0.055621000000000004
DRW501710151,20171209,110346,20171209110346,0.399685,0.000889,59.864421,0.0,0.0415,0.014625999999999998,0.442068,0.0007570000000000001,92.892122,0.0,0.041579000000000005,0.06459
DRW471710011,20171212,83826,20171212083826,0.412330,0.000891,75.006832,0.0,0.041288,0.087668,0.40930900000000003,0.000753,39.152712,0.0,0.040957,0.041495
DRW501710021,20171212,112448,20171212112448,0.341645,0.000542,108.587043,0.0,0.041649,0.019494,0.466782,0.000505,49.256346,0.0,0.041592000000000004,0.044608
DRW481710151,20171212,133730,20171212133730,0.362826,0.000722,60.621028,0.0,0.041012,0.06398,0.40032199999999996,0.000729,69.953579,0.0,0.041156,0.05458
DRW501710041,20171212,144346,20171212144346,0.284561,0.000671,68.527109,0.0,0.041369,0.017111,0.428335,0.0007740000000000001,79.353868,0.0,0.041113,0.06840299999999999
DRW501710051,20171212,151126,20171212151126,0.483321,0.000847,53.617305,0.0,0.041030000000000004,0.029822,0.322519,0.0005690000000000001,110.618068,0.0,0.041217000000000004,0.026935
DRW501710061,20171212,155332,20171212155332,0.406007,0.000697,69.644616,0.0,0.041207,0.058351,0.47695600000000005,0.0010019999999999999,107.948231,0.0,0.041166,0.029032
DRW501710071,20171212,163000,20171212163000,0.380613,0.000703,66.911682,0.0,0.042022000000000004,0.014221000000000001,0.326328,0.000615,102.61065699999999,0.0,0.04158,0.058478999999999996
DRW501710081,20171213,75736,20171213075736,0.295909,0.000734,80.196113,0.0,0.041024,0.016097999999999998,0.39607800000000004,0.000893,90.78695,0.0,0.04131,0.055775
DRW501710091,20171213,85532,20171213085532,0.374062,0.000631,76.079254,0.0,0.041442,0.052367,0.41606899999999997,0.000746,91.52709200000001,0.0,0.041564,0.032597
DRW501710101,20171213,104236,20171213104236,0.434750,0.000772,95.903410,0.0,0.041408,0.019597,0.40371,0.000617,116.64959499999999,0.0,0.041014,0.034591000000000004
DRW501710111,20171213,144857,20171213144857,0.353081,0.000938,39.687210,0.0,0.041256,0.010226,0.275127,0.0008029999999999999,111.92088600000001,0.0,0.040948000000000005,0.075784
DRW491710261,20171213,164110,20171213164110,0.359469,0.000495,78.060774,0.0,0.039744,0.041509,0.337918,0.0009630000000000001,114.48884,0.0,0.042167,0.050109
DRW501710161,20171214,114041,20171214114041,0.427363,0.000695,67.799012,0.0,0.041816000000000006,0.048562,0.354005,0.000762,107.449757,0.0,0.042212,0.029542000000000002
DRW501710181,20171214,135712,20171214135712,0.370431,0.000850,101.807308,0.0,0.042033999999999995,0.03779,0.45846899999999996,0.000816,105.464147,0.0,0.042041,0.056784
DRW491710191,20171214,145842,20171214145842,0.438059,0.000927,81.269198,0.0,0.041967000000000004,0.042224,0.464786,0.0006349999999999999,132.078869,0.0,0.042168000000000004,0.052908000000000004
DRW501710201,20171214,152632,20171214152632,0.326171,0.000776,115.037261,0.0,0.041894,0.012967,0.43916700000000003,0.000987,107.356825,0.0,0.042148000000000005,0.072939
DRW501710191,20171214,154627,20171214154627,0.392699,0.000960,98.957462,0.0,0.042022000000000004,0.039391,0.458966,0.000705,106.16373600000001,0.0,0.042131,0.062856
DRW501710221,20171214,164301,20171214164301,0.268437,0.000702,133.781483,0.0,0.041397,0.048608,0.36078499999999997,0.0006730000000000001,94.68324799999999,0.0,0.042020999999999996,0.065087
DRW501710231,20171215,82338,20171215082338,0.435887,0.000925,80.481982,0.0,0.041913,0.034367,0.42846000000000006,0.000746,79.716756,0.0,0.041772000000000004,0.031271
DRW501710241,20171215,100710,20171215100710,0.415180,0.001038,95.533118,0.0,0.042319,0.030358999999999997,0.311129,0.000681,105.91831100000002,0.0,0.042043000000000004,0.049607
DRW501710251,20171215,105109,20171215105109,0.661167,0.001303,70.902458,0.0,0.04255,0.035738,0.417792,0.000909,96.649519,0.0,0.041871,0.042718
DRW501710271,20171215,121817,20171215121817,0.357190,0.000823,108.568810,0.0,0.042187,0.012072,0.46325900000000003,0.000839,100.18956,0.0,0.04227,0.062796
DRW501710261,20171215,161451,20171215161451,0.455655,0.000799,86.993419,0.0,0.04203,0.047061,0.386588,0.000865,103.814796,0.0,0.041683,0.062789
DRW501710281,20171218,80449,20171218080449,0.396452,0.000849,84.519943,0.0,0.041832,0.046682,0.426324,0.000797,91.098786,0.0,0.042164,0.056079
